,adID,adText,adSpend,adLP,adImpress,adClicks,adCreation,adLocation_cleaned,adStates,adDate
1148,147,Young Unarmed Black Man Killed By Cop Didnt Want ToDie Too YoungAn unarmed black teenager in Texas was shot dead by a cop who had onlyrecently graduated from the police academy Just over a week before hisdeath he posted that he doesnt want to die too young on TwitterOfficers responded to a burglary call aroundam on Friday hearing reportsthat a suspect was damaging vehicles First spotting Taylor moving about thelot officers also noticed Taylors SUV had been smashed into the front of thedealership showroom Finding that Taylor had moved inside the showroomArlington Police Chief Police Will Johnson said Taylor would not comply whentold to lie down on the ground but fled to a back room yearold officerBrad Miller entered the showroom to arrest Taylor and then an altercationbroke out Miller fired four shots including the fatal bullets from the gun ofMiller A second officer fired a taser Johnson saidAnd now there are three main points that you should think ofTaylor was described as a good kid He was a football player at AngeloState University Never was involved in criminal activitiesThe officer graduated from the police academy less thanmonths ago andwas working under the supervision of a training officerTaylor didnt want to die youngBlack teens dont really live they survive And unfortunately there is no oneto save them from death There is no one to stop police brutality We all wantour kids to feel safe we want them to be safe and sound Are our hopesdoomed to disappointment,44.54,https://www.facebook.com/Black-Matters-1579673598947501/,290.0,86.0,08/10/15 07:36:40 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-08-10
1149,148,Michael we didnt forget you We havent forgotten anyone No justicenopeaceBlackLivesMatter Ferguson,999.99,https://www.facebook.com/Black-Matters-1 579673598947501/,8752.0,1102.0,08/12/15 12:53:51 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-08-12
1150,149,BREAKING NEWSOakland JoeBartOakland police officers fatally shot a man suspected in alleged carjackingattempt in Downtown Oakland Wednesday night Is it a race warYesterday night a group ofprotesters burned Confederate flag and tried toshutdown a freeway in Downtown Oakland The opposition to police violencewas in response to the police shooting earlier in the dayAccording to Oakland Police Department yesterday atpm in the areaof th Avenue and International Boulevard Oakland police officers spotted avehicle they believe to be connected to a previous robbery on JulyThepursuit started when the driver fled through Oakland streets until the suspectcrashed into another car in the area of th Avenue and Martin Luther KingJr street But when the suspect ran of the car three officers opened fire Thesuspect Joe Bart has died at the hospitalDid you know that it was fifth shooting this year that involved police officersHow quickly it has become so usual Why it has become so legit Where isthe government speaking about the existence of racism in AmericaBlack Lives Matter,0.0,https://www.facebook.com/Black-Matters-1579673598947501/,0.0,0.0,08/13/15 07:18:16 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-08-13
1151,150,Black people still face discriminationNew data shows that white privilege still dominates in the United States ofAmerica It is painfully obvious that unequal treatment is harmful on a dailybasis For instance poor service plays an important role contributing toalteration in health that is potential harmful realities for many black people,82.95,https://www.facebook.com/Black-Matters-1579673598947501/,294.0,34.0,08/18/15 08:23:09 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-08-18
1152,151,Why black parents worry about their children How should we talk to ourchildren about how safely interact with police officers in order to protectthemselvesTina CarterShileds has five kids and three of them recently started to driveThe first thought she had when they wanted to drive alone was Wait aminute Im really scared right now What should they do if they get pulledover What if they do something they dont supposed to be doing It is notalways fair when officers arrest African Americans but its a reality What ifpolice officers will automatically assume that your child is criminal because ofhow him or her looksBlack parents should remember that their kids will always be judged by theway they look Thats why its important to instruct our children how to reactwhen you are in trouble with law enforcement Because if a stranger followsyour child after himher buy a bag of Skittles ran back into the storeRemember anything is better than dyingAnyways its hard to believe that inst century black parents have to teachtheir children both survive and thrive But who will take responsibility fortraining police officers,160.23,https://www.facebook.com/Black-Matters-1 579673598947501/,594.0,63.0,08/18/15 08:22:50 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-08-18
1153,152,What is like to live in America if you are blackWell first of all you have to work much harder to prove that you are worthothers Second of all everybody is judging and stereotyping you by the colorof your skin Third of all you are always being an other even in the countryyou were born Forth of all you are always expected to be load and to dancewell In addition there are lots of people who like to throw race cardsCan we live like that How long should we wait for the governmentcontributions,119.55,https://www.facebook.com/Black-Matters-1579673598947501/,315.0,42.0,08/18/15 08:22:26 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-08-18
1154,153,Men March begins with mile walk to DC to denounce epidemic of theculture of gun violence and racismmile trek to Washington has started this Sunday evening in order to bringmore attention to widespread violence in different cities across America Thefounder of the group Munir Bahar said that the march will lasthours in amemory of more thanpeople who have been killed in Baltimore this yearTheMen March will highlight the racism and violence across the countryWhats wrong with our society Police kill unarmed citizens we kill eachother What example we will be setting for the future generations How arewe going to break the cycle of violence Are there any chances to overcomedeeply rooted racism and violence in America What if peace comes after thefairness,1414.97,https://www.facebook.com/Black-Matters-1579673598947501/,11736.0,1130.0,08/18/15 08:22:08 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-08-18
1155,154,Straight Outta Compton is straight realityThe new movie Straight Outta Compton focus on legendary hiphop pioneersNWA and their struggles against racism and police violence The movie iscoming this weekend in the theaters However some of the cinemas refusedto show the movie citing safety and liability concernsDoes it remind you of anything How about Ferguson How about BaltimoreToday you are willing to be detained in the name of defending your rightsToday cops can easily shoot you for a small violation Even having black copsand black mayors doesnt end police brutality Fortunately today you areallowed to record police officers in order to further prevent potentially seriouscases of police wrongdoing fairly,121.04,https://www.facebook.com/Black-Matters-1579673598947501/,553.0,70.0,08/18/15 08:21:46 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-08-18
1156,155,Police Officers Take Down A Onelegged Homeless Black Man ArmedWith Crutches in San FranciscoWriter Chaedria LaBouvier reported that she had seenSan Franciscopolice officers subduing a homeless black man who had one leg outsideTwitter headquartersWitnesses told LaBouvier that police had been called because the man waswaving sticks which later turned out to be his crutchesNone of the employees at Twitter or other tech companies came out to objectas theofficers took down the onelegged homeless manThe US Justice Department recently filed court documents in an Idaho casewhich declared it unconstitutional to criminalize homelessness According tothe Coalition on Homelessness the city handed outcitations tohomeless people who were sitting on sidewalks betweenam andpminWhat kind of people police usually hire Mentally unstable bloodthirstycowards or We already know the answer Sometimes we all wonder dopolice officers have mercy for anyone Hard to say because what we seeconfuses us,81.42,https://www.facebook.com/Black-Matters-1579673598947501/,199.0,21.0,08/18/15 08:21:25 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-08-18
1157,156,Handcolored portrait of an unidentified black woman shucking corn ByGeorge Barnard,81.43,https://www.facebook.com/Black-Matters-1579673598947501/,219.0,32.0,08/18/15 08:20:41 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-08-18
1158,157,Racism doesnt usually look like someone shouting slurs it looks like peopleeagerly looking for a reason why a black kid deserved to die,413.94,https://www.facebook.com/Black-Matters-1579673598947501/,2644.0,251.0,08/18/15 08:20:23 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-08-18
1159,158,BREAKING NEWS St Louis police fatally shot a black teenager while tryingto issue search warrantOn Wednesday Augracial tensions again sparked in Missouri city afterSt Louis police officers fatally shot black teenager at Walton Avenue andPage Boulevard while trying to issue search warrant According to St LouisPolice Chief San Dotson a young black man pointed a gun at officers andwas trying to escape from a house where officers were carrying out a searchwarrant for him The yearold and yearold officers who shot thesuspect four times were about seven years on the forceThat was followed by crowd ofpeople who gathered by intersection Lateron nine people were arrested on charges of resisting arrest The protesterssaid that the police provoked the situation What do you think about it What ifthis situation makes us want to keep the police out of our neighborhood Whydo you think police shoots first and then asks questions Do you realize thatthe shooting came just ten days after St Louis was flooded with protesterswho were marking the anniversary of Michael Brown What if the city and thegovernment needs to center its attention on racism and discrimination inAmerica instead of suspecting every single black menWe cannot accept the fact that police can easily kill black people in Americathan we must do something about it Protest or accept it You choose This isyour life,100.0,https://www.facebook.com/Black-Matters-1579673598947501/,447.0,99.0,08/21/15 08:05:07 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-08-21
1160,159,What is like driving while black in AmericaThroughout the twentyfirst century there are thousands of complaints of thepolice profiling black drivers in America Black Americans often complaintabout being pulled over for the phenomenon called driving while black Forexample a rich African American driving new Ferrari can be stoppedhundreds of times for no apparent reason just because the fact that a blackman driving an expensive car attract the attention of the police officersBut what if racial profiling ends with lethal consequences Do you rememberSandra Bland who had runins with the police while driving Do you allremember that she was found dead in police custody Do we all have toavoid traffic stops in order to surviveFor the matter of fact the routine traffic stops are being a big deal for thepeople of color According to the Justice Department statistics black driversare aboutpercent more likely to be subject to police than whites Overallthis number indicates the racial difference in America,100.0,https://www.facebook.com/Black-Matters-1579673598947501/,322.0,47.0,08/21/15 07:46:04 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-08-21
1161,160,Silenced racism in AmericaTamir Rice Rumain Brisbon Kajieme Powel Dante Parker Michael BrownJohn Crawford III Eric Garner Jonathan Ferrell Kimani Gray Michael Brownand Sandra Bland are one of many examples of excessive police brutalityused on black AmericansYou never know if a simple traffic stop will end up with you in a police custodyor bullets in your chestUnfortunately many of Americans feel very uncomfortable talking about theseissues which seem to confirm the idea that the government remain silentNevertheless one should accept that AfricanAmericans are more likely to betargeted by police officers on the street than whites Therefore it endangersthe rights of black communityDoubtless when the government defends the officers who have killed blackmen it strikes us how unfair the system is and reaffirms our view that Americawould spend billions of dollars on radical extremists than talking about thedomestic terrorism racial inequality and police brutality,483.15,https://www.facebook.com/Black-Matters-1579673598947501/,3218.0,408.0,08/21/15 07:45:31 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-08-21
1162,161,Black power is greater then you thought You just have to use it right Fight foryour civil rights use your power Civil Rights legislation is the most effectivestep towards eliminating unspoken by the government inequality in AmericaWhat if the civil rights movement generates social change What if the civilrights movement accelerates the process of the same opportunities,584.77,https://www.facebook.com/Black-Matters-1579673598947501/,1720.0,230.0,08/20/15 07:43:42 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-08-20
1163,162,Confederate flags are permitted to fly at schools in TennesseeParents are worried about their childrens safetyYet here we are Tennessee parents are worried about their childrens safetyat the local school after discovering that anyone is permitted to wearConfederate flag attire and to fly the Confederate flags at school Thisprovoked widespread discontent among black parents of Rutherford CountyOne of the parents said that she witnessed the students wearing theConfederate flag Tshirt and the controversial flags flying in the backstudents carsHow would you feel if your child studies among those who like to fly theConfederate flags on their trucks How would you feel about the safety ofyour child Why children were permitted to openly display the Confederateflag on the school grounds What kind of symbol the Confederate flag is foryou Do you remember Dylann Roof who killed black people at church Doyou remember that he was promoting the Confederate flag What if your childstudies among the same people Is it an appropriate place for your kid tostudyIf Nazi flag was banned than the Confederate flag must be outlawed tooThus if the government continues to accept this flag it will bring more racistand hateful movements because the Confederate flag shows a lack ofempathy for African Americans slavery and for every black American man,0.0,https://www.facebook.com/Black-Matters-1579673598947501/,0.0,0.0,08/20/15 07:42:57 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-08-20
1164,164,PowerDrunk Pig Threatens To Drag Teens Out Of CarPolice officer Jeff Willis is facing disciplinary action after a video surfaced ofhim violently threatening teenagers because they were smiling at him and nottaking him seriously enough Willis pulled them over because one of thepassengers allegedly flipped him the middle fighter from the windowWhen one of the young men asks the officer What did I do the officerresponds by saying I dont know I just dont like you I just dont like youThe only crime committed by the occupants of the car was shooting the videoWe have a legal right to film and photograph police in every state Peopleshould know their rightsits the first step to stop police brutalityIf another person smiling makes you that upset you should not be permittedto own a gun People who have mental illness or anger issues should nothaving access to guns Guns should be in the hands of responsible adultsPolice went out of the control How much respect do you think Police has forpeopleIn this way if you cant control yourself its time to retire you dontdeserve to carry the badgeAmerica needs better gun control Although its not the type of gun that is theproblem It is the type of gun owner that is the problem America control yourblue pigs,29.39,https://www.facebook.com/Black-Matters-1579673598947501/,149.0,37.0,08/25/15 07:58:45 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-08-25
1165,165,Love this sign because its true Whether killed or jailed too many Blackchildren lose their fathers because of corrupted system,246.39,https://www.facebook.com/Black-Matters-1579673598947501/,2543.0,309.0,08/24/15 08:27:46 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-08-24
1166,166,Prominent Black Lives Matter activist Shaun King revealed to be whiteBlack Lives Matter activist Shaun King has claimed for years that he isbiracial being born to a white mother and a black father But recentlyuncovered records claim he misled the public about his race and that he is infact a white man pretending to be blackKings race would not be under scrutiny if it was not an essential componentof his career education and social status In addition to getting a fullridescholarship that is exclusively for black men King has the position of JusticeColumnist at progressive news website Daily Kos and enjoys astrong follower count on Twitter most of whom are a result of hisactivism following the death of Mike Brown in FergusonKings race would not be under scrutiny if it was not an essential componentof his career education and social status In addition to getting a fullridescholarship that is exclusively for black men King has the position of JusticeColumnist at progressive news website Daily Kos and enjoys astrong follower count on Twitter most of whom are a result of hisactivism following the death of Mike Brown in FergusonKing still did not directly answer the simple yes or no question about his ethnicbackground Are you black Instead he said If you have known me fromwhen I was in elementary school at Huntertown Elementary until now youveknown me as black or biracialTurning blackness into a performance is antiblacknessirrespective ofwhether the white person doing it is Rachel Dolezal or Shaun King,78.12,https://www.facebook.com/Black-Matters-1579673598947501/,323.0,47.0,08/24/15 08:27:21 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-08-24
1167,167,We do not want to fit into racist negative stereotypes that America has placeon us We are so tired of the government and media putting out the falseimages of black Americans Why blacks are portrayed as brutal andaggressive Can we stop it somehow,495.92,https://www.facebook.com/Black-Matters-1579673598947501/,4386.0,468.0,09/01/15 07:38:20 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-09-01
1168,168,This is enough police officers No more Eric GartnersMore than twenty protesters organized by the Mass Action Against PoliceBrutality group are calling for a further investigation into videotaped incidentthat took place in Washington Street in Roslindale Nearly threeminutevideotape posted to Youtube shows Boston Police officer earlier this monthchoking an yearold Elvin Vargas and attempting to put him in a cruiserafter he was arrested on AugustHave you noticed than excessive force by police is disproportionate on peopleof color When the government law enforcement the criminal justice systemwill treat all communities with dignity How long should we complain aboutthreats against our lives As the ability to record police activity has becomemore widespread can we achieve justice,124.29,https://www.facebook.com/Black-Matters-1579673598947501/,728.0,81.0,09/01/15 07:37:52 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-09-01
1169,169,Jamycheal Mitchell Mentally III Criminalized and Killed by the SystemStories like the one of Jamycheal Mitchell the yearold young man whowas found dead in his jail cell on Augustare particularly hard to hearWhat the police ruled natural causes turned out to be that he starved todeath The crime Shoplifting Mitchell who had a severe mental illness hadbeen ruled permanently disabled and was unable to work In April he stole azebra cake a Snickers and Mountain Dew from a localin PortsmouthVirginia It would be a month before he ever went before a judgeA judge then ruled him incompetent to stand trial He should have beentransported to a local mental health facility but he wasnt Apparently therewasnt one that had room for him Three months later he was found dead inhis cell No meds had ever been administered He had never made it to amental health facility He had lost nearlypounds because he refused toeat All for less thanworth of snacks he stole while in a mental healthcrisisYes you can die overdollars here in America Nothing new here Justice isjust an empty word in this country Be sure you will never know the truth Weare far away from the truth,269.69,https://www.facebook.com/Black-Matters-1579673598947501/,1209.0,135.0,09/09/15 08:07:30 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-09-09
1170,170,All lives matter All lives mattered during slavery too All lives mattered duringsegregation too All lives mattered during apartheid too All lives alwaysmatter But there are situations where some lives are focused more on duringthat time Not because they matter MORE but because theyre not put on anequal playing field not treated the same way and are treated like theyrelessmatter less,7.74,https://www.facebook.com/Black-Matters-1579673598947501/,56.0,8.0,09/09/15 08:06:58 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-09-09
1171,171,The real enemy is around us Watch out,11.01,https://www.facebook.com/Black-Matters-1579673598947501/,53.0,12.0,09/09/15 08:06:26 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-09-09
1172,172,Because They Lack Crucial Training These Cops Severely Beat a BlindAutistic Teen UnconsciousDuring the incident Abramssuffered two seizures after police used forceagainst him at the Green Lines Lexington Parkway StationThe teen suffers from Aspergers syndrome which causes him to stronglydislike being touched or having people in his person space and is consideredlegally blind wearing extremely magnified glassesOfficers thought the noncompliance of Abrams was reason enough to justifyforcibly taking him down which resulted in him being battered and leftunconsciousAbrams noncompliance wasnt done out of malice but out of not reallyunderstanding the situation and believing he hadnt done anything wrongAbrams autism makes it extremely difficult for him to interpret the intentionsor feelings of others according to his mother Police released the teen to thecustody of his mother rather than take him to the juvenile detention facilityPolice are trained to think like the military in combat which means theyprioritize their own safety and the safety of fellow officers over everythingelse including that of the citizens they allegedly protect and serve,143.57,https://www.facebook.com/Black-Matters-1579673598947501/,766.0,91.0,09/09/15 08:05:55 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-09-09
1173,173,Think about this for a second My house is on fire with my entire family insideI make it out and scream for help My neighbor grabs the water hose andsprays his house which isnt on fire Then tells me all houses matter,217.15,https://www.facebook.com/Black-Matters-1579673598947501/,929.0,86.0,09/09/15 08:05:34 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-09-09
1174,174,Innocent Bystanders Could Face Criminal Charges for Not Jumping in to HelpOfficer Make ArrestResidents of Huntsville Alabama who declined to intervene to help a policeofficer subdue a suspect could face criminal prosecution under a state statuterequiring them to assist an officer in trouble Had the situation been reversedhowever police officers would face neither criminal nor civil prosecution fordeclining to aid a citizen under assault by a suspectA man named Devonte Conerly who was suspected in a hit and run incidentallegedly tried to disarm the police officer who stopped him Several officersresponded to a call for assistance and eventually subdued and handcuffedConerly They then rebuked several bystanders who had declined tointerveneBystanders are not liable to prosecution if the failure to render aid wasreasonable under the circumstances but the burden of demonstrating thatthis is the case is placed upon the accusedWhen youll see a bunch of cops beating an unarmed man dont forget thatyou can be in his place just for not helping cops in committing a crime,294.06,https://www.facebook.com/Black-Matters-1 579673598947501/,759.0,91.0,09/09/15 08:05:05 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-09-09
1175,175,Racism is still a stumbling block between black and white Americans,294.63,https://www.facebook.com/Black-Matters-1579673598947501/,922.0,119.0,09/09/15 08:04:38 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-09-09
1176,176,We wont apologize for our blackness Its not our duty to do that Black isbeautiful Beautiful is forever and it makes us to be proud We will carry it withus everywhere and forever We dont care if the government doesnt want toaccept the fact that we are stronger than we were before We dont care if thegovernment doesnt see our problems We can build our history on our ownbecause we are stronger by nature,287.16,https://www.facebook.com/Black-Matters-1579673598947501/,89.0,7.0,09/09/15 08:04:12 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-09-09
1177,177,Know your rights and your freedomThe murders of Michael Brown Tryvon Martin Freddie Gray Eric Gartnerand other black victims have dramatized depth of racism in America societyThey were young and Black that was enough for police officers to decide thatthey looked suspicious The police brutality has sparked the movement andhas emerged to demand justice and political attention However the everydayracism we see was not understood but ignored Moreover the governmentalong with the law enforcement violate our rights through the illegal use offorce and mass arrests in order to obstruct our free expressionYes standing up for your right to protest for the equality and justice ischallenging but its worth discrimination and unfairness black civilians faceeveryday Remember knowing your rights can be the most powerful weaponyou have against police abuse and brutalityThe most famous civil rights activists represent a basic philosophy known fortheir fight against injustice and lasting profound impact in the lives of AfricanAmericans Martin Luther King Jr Malcolm X Mary McLeod Bethune RosaParks changed our lives foreverBut what changes have you made Have you contributed to a greaterequality What are you doing to fight against injustice and racism Have youever protested in civil rights protests or have you ever been part of BlackLives Matter movement How do your protect your right to free expressionPlease comment below what have YOU done to prove BLACK LIVESMATTER,2.59,https://www.facebook.com/Black-Matters-1579673598947501/,17.0,0.0,09/23/15 02:52:24 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-09-23
1178,178,What progress have we made towards eliminating racial profiling Who istrying to damage the stereotypes of African Americans How many black menhave died for minor crimes at the hands of the police officers,800.0,https://www.facebook.com/Black-Matters-1 579673598947501/,7341.0,541.0,10/09/15 07:01:29 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-10-09
1179,179,WEAR BLACK FIGHT BACK CHALLENGE FOR OUR SUBSCRIBERSOctober nd is one of the most important days for all of us Fromonward people around the country have mobilized for a National Day ofProtest to stop police brutality repression and the criminalization of agenerationThe powerful National Day of Protest will be brought in cities and towns allacross the country Lets make history together Its time to stand up for ourrights and our freedomOur community has a challenge for you guys All you need to do iswear blacktake a picture of yourself during or right beforeafter this eventsend it to us Simple as thatWe will post all the pictures on our page so that the whole African Americancommunity will know about you and your effortsIts really important for us to know were united Its important for us to knowwe care about our futureBlack Matters will appreciate your efforts tooCheck the official website to find an event in your area,2998.22,https://www.facebook.com/blackmattersus/,11134.0,1016.0,10/21/15 07:59:43 AM PDT,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-10-21
1180,180,Help us spread their shame Anonymous unhoods the KKK prominentpoliticiansUS Senators Thom Tillis RNC John Cornyn RTx Dan CoatsRInand Johnny Isakson RGaUS mayors Madeline Rogero of Knoxville Tennessee Jim Gray of LexingtonKentucky Paul D Fraim of Norfolk Virginia Kent Guinn of Ocala Floridaand Tom Henry of Fort Wayne IndianaAs long as there are the KKK members in the government racism in thecountry will prosper They should resignIf you want to stop this madness take a minute to sign the petitionaushouseofrepresentativesussenatelistthekukluxklanasanofficialterroristorganizationWe need aroundsigns to reachThe KKK should be labeled asa terrorist groupShare this with your friends and ask them to sign the petitionYour efforts will be appreciated Its time to make a change,3000.0,https://www.facebook.com/blackmattersus/,22670.0,1781.0,11/06/15 06:50:26 AM PST,Baltimore Maryland Missouri Cleveland Ohio,Maryland Missouri Ohio,2015-11-06
1181,182,Theill attract the UNs attention to the long terminjustice and cruelty against people of color in the United States Thegenocide instituted by white supremacists should be stoppedJoin our protest that will be heldAlso join the event for more infoCrimesOfGenocide,1550.0,https://www.facebook.com/blackmattersus/,4529.0,221.0,02/09/16 05:40: 15 AM PST,New York,New York,2016-02-09
1182,184,Officer Liang who fatally shot yearold Akai Gurley was found guilty ofmanslaughter assault and other criminal chargesRead moreandothercharges,1.5,https://www.facebook.com/blackmattersus/,10457.0,1000.0,02/12/16 07:09:39 AM PST,New York,New York,2016-02-12
1183,185,yearold Mario Woods was killed by the San Francisco police onDecember An autopsy released on Thursday shows that Mario was hittimes by officers bullets Sixteen of the wounds were said to have gone fromback to front through Woods body including six in his back and two in theback of his headRead morebulletsrecoveredfrombodyofmariowoodsautopsyreportsshow,1500.0,https://www.facebook.com/blackmattersus/,16684.0,1237.0,02/12/16 07:01:48 AM PST,New York,New York,2016-02-12
1184,186,Formation undoubtedly focuses on black identity as Beyonce justifiesher authority as a proud Black woman and concurrently authenticating herroots and historyRead mored ivabegoespoliticalwithherform ation,461.96,https://www.facebook.com/blackmattersus/,1590.0,180.0,02/12/16 12:36:07 AM PST,New York,New York,2016-02-12
1185,187,ATTENTION NEWYORKWe need your support Well provide you with free food and coffee Come andbring your friendsJoin the FB event for more details,4.3,https://www.facebook.com/blackmattersus/,5.0,0.0,02/18/16 05:46:32 AM PST,New York,New York,2016-02-18
1186,189,ATTENTION NEWYORKWe need your support Well provide you with free food and coffee Come andbring your friendsJoin the FB event for more details,0.0,https://www.facebook.com/blackmattersus/,,,02/18/16 05:09:11 AM PST,New York,New York,2016-02-18
1187,190,ATTENTION NEWYORKWe need your support Well provide you with free food and coffee Come andbring your friendsJoin the FB event for more details,1386.19,https://www.facebook.com/blackmattersus/,3466.0,353.0,02/18/1605:12:00 AM PST,New York,New York,2016-02-18
1188,191,A yearold boy dies after being shot multiple times in West Baltimore ABaltimore teenager died Monday morning shortly afteram after beingshot several times on a street corner less than two miles from his old highschool Baltimore Suns crime reporter Kevin Rector said that an officer in theblock of West Baltimore street s heard multiple gunshots comin TeenFatally Shot In West Baltimore I Black Matters Black Matters,4.18,https://www.facebook.com/Black-Matters-1579673598947501/,5.0,2.0,03/04/16 12:46:32 AM PST,New York,New York,2016-03-04
1189,192,As what happened to India while in police custody remains a major concernmany are wondering why the yearold was denied an appropriate medicalevaluation and proper care The frequent reports of police brutality andextreme use of force leading to death has regrettably become a daily courseConsequently protests and demonstrations overflow in every nook andcranny demanding answers and justice On FebruaryIndia T Cummingswas under the influence of the synth JusticeForindia Yearold DeniedMedical Treatment Dies in Police Custody I Black Matters Black Matters,2.89,https://www.facebook.com/Black-Matters-1579673598947501/,7.0,0.0,03/04/16 12:4&00 AM PST,New York,New York,2016-03-04
1190,193,yearold Lane Durham from Oklahoma is facing up toyears ofconfinement for sexual harassment when he volunteered as a missionary inKenyaAll I wanted was to follow Gods plan for meDurham told before courtpleading for mercy In JuneMatthew Durham came under nationalspotlight when he was accused of raping and molesting several young blackgirls and boys in an orphanage in Kenya Now yearold Lane Durhamfrom Oklahoma is facing up toyears of confinement for sexualharassment when he volunteered as a missiYears For Sexually AbusingKenyan Orphans Isnt Enough I Black Matters Black Matters,20.09,https://www.facebook.com/Black-Matters-1579673598947501/,20.0,1.0,03/10/16 04:13:40 AM PST,New York,New York,2016-03-10
1191,194,Sean Chungwas sent to Rikers Island last month because of a musicvideo he posted in November The last thing you would imagine someone willgo to jail for is their rap lyrics Afterwards this is Americathe Land of theFree and home of the Brave The country where artists like IceT and IceCube can sing about killing cops and win multimillion dollar record dealsIm bout to dust som A Blatant Disregard For The First AmendmentYoung Rapper Jailed For Lyrics I Black Matters Black Matters,383.97,https://www.facebook.com/Black-Matters-1579673598947501/,1818.0,150.0,03/10/16 04:12:29 AM PST,New York,New York,2016-03-10
1192,195,Family members of India Kager will receive the video of India and Angelosshooting today March th On Marchwomen all over the world celebratedheartily the pride in being a woman But in the case of Gina she only wishesthe justice to be served Ginas grieving ever since the death of her daughterIndia Kager along with Angelo Perry Indias boyfriendhas been escalatedby an attorneys de Gina Kager Receives The Video Of Indias DeathBlack Matters Black Matters,199.96,https://www.facebook.com/Black-Matters-1579673598947501/,393.0,32.0,03/11/16 01:52:05 AM PST,New York,New York,2016-03-11
1193,196,A narcotics detective who abused his power in the past was shot in theshoulder by his fellow officer Its time to reap what you sow The day beforeyesterday an unidentified police sergeant accidentally shot Jon Gladstone anarcotics detective while firing at two unarmed drug dealers in Brooklyn Thedrug dealers were surrounded by these two undercover cops It happenedwhile the criminals were sitting in a parked van When the NYPD Cop ShotAnother Cop During A Drug Bust I Black Matters Black Matters,400.0,https://www.facebook.com/Black-Matters-1579673598947501/,1829.0,184.0,03/11/16 01:51:39 AM PST,New York,New York,2016-03-11
1194,197,The VA State Attorney Colon Stolle sees no law violation in Virginia Policeactions The VA State Attorney Colon Stolle on Wednesday gave a verdictconcerning the four Virginia Police Officers who were involved in the shootingof India Kager at a press conference He is sure that they didnt violate thelaw and shouldnt be prosecuted During the press conference a minutevideo of No Charges For VA Beach Police For Killing India Kager I BlackMatters Black Matters,0.68,https://www.facebook.com/Black-Matters-1579673598947501/,5.0,0.0,03/11/16 01:51:03 AM PST,New York,New York,2016-03-11
